# Pointing,RA,DEC,integration time, IDs
P336+46,336.066479167,45.776785,0.0,None
P040+81,40.1870166667,81.4278661111,0.0,None
P143+27,143.5108,26.9644747222,0.0,None
P010+34,10.4901083333,33.526525,8.01, 554963
P071+49,71.4011708333,49.0858269444,0.0,None
P282+55,282.047216667,55.3802719444,0.0,None
P050+39,50.6887125,38.8854161111,0.0,None
P173+35,173.147958333,34.6532277778,0.0,None
P269+05,269.970516667,5.09637777778,0.0,None
P051+56,51.4104916667,56.4583738889,0.0,None
P269+03,269.292583333,2.58122638889,0.0,None
P011+13,11.3607083333,13.4534152778,0.0,None
P269+00,269.3575125,0.0714697222222,0.0,None
P200+10,200.197958333,9.69534222222,0.0,None
P108+64,108.216275,64.3962936111,0.0,None
P269+08,269.485679167,7.60293388889,0.0,None
P212+60,212.602808333,59.9571419444,0.0,None
P172+17,172.00725,17.0774730556,0.0,None
P247+23,247.597741667,22.5183922222,0.0,None
P288+05,288.163595833,5.22799666667,0.0,None
P247+25,247.119770833,25.0253936111,0.0,None
P259+33,259.292416667,32.6340752778,8.01, 527549
P274+85,274.680670833,85.3513583333,0.0,None
P174+30,174.478575,29.6404294444,0.0,None
P112+69,112.6624125,69.4399966667,0.0,None
P077+47,77.077925,46.6184263889,0.0,None
P219+37,219.875520833,37.4128819444,8.01, 387567
P219+30,219.210083333,29.8795194444,0.0,None
P219+32,219.384591667,32.3904161111,8.01, 373375
P068+21,68.8968625,21.4583816667,0.0,None
P068+26,68.1505208333,26.4728777778,0.0,None
P182+85,182.329766667,84.8098469444,0.0,None
P228+32,228.584525,32.4430888889,0.0,None
P232+58,232.3314625,57.5607033333,8.01, 516358
P318+56,318.640508333,55.6676675,0.0,None
P001+54,1.01076666667,53.5218027778,0.0,None
P090+77,90.56955,76.8112677778,0.0,None
P301+61,301.284833333,60.5451736111,0.0,None
P038+29,38.020825,28.7417916667,0.0,None
P099+14,99.3270833333,14.1455397222,0.0,None
P126+29,126.883154167,29.3790808333,0.0,None
P318+73,318.9904625,73.2279666667,0.0,None
P038+21,38.3267625,21.2140861111,0.0,None
P261+25,261.409441667,25.1185111111,0.0,None
P126+27,126.092625,26.8644305556,8.01, 590177
P318+78,318.255858333,78.2298430556,0.0,None
P8Hetdex,168.31581,52.12205,8.0, 233998
P357+51,357.248891667,50.9795380556,0.0,None
P326+16,326.924541667,15.5794372222,0.0,None
P084+39,84.0080083333,39.1396638889,0.0,None
P28Hetdex,191.64944,45.33236,8.0, 239680
P326+11,326.399625,10.5547055556,0.0,None
P326+18,326.746425,18.0880944444,0.0,None
P324+16,324.237420833,15.5568280556,0.0,None
P324+18,324.023508333,18.0651555556,0.0,None
P291+53,291.8075625,52.9441222222,0.0,None
P225+68,225.4106125,67.5539361111,0.0,None
P253+63,253.0195125,62.7062588889,0.0,None
P306+46,306.436329167,45.5300675,0.0,None
P306+41,306.422554167,40.51046,0.0,None
P030+39,30.7568166667,38.7203722222,0.0,None
P082+17,82.7609666667,16.5407294444,0.0,None
P306+48,306.197954167,48.0379416667,0.0,None
P292+40,292.812958333,40.4037294444,0.0,None
P220+35,220.4237875,34.906145,8.01, 387595
P238+25,238.5510125,24.9724358333,0.0,None
P322+43,322.090325,43.1486436111,0.0,None
P270+83,270.248695833,82.8501491667,0.0,None
P066+21,66.1156708333,21.4371472222,0.0,None
P008+44,8.371875,43.54745,0.0,None
P328+36,328.221425,35.6706847222,0.0,None
P008+49,8.46875416667,48.5676955556,0.0,None
P154+40,154.331141667,39.5733,8.27, 349272
P340+41,340.5454,40.7957669444,0.0,None
P085+32,85.0357791667,31.6171588889,0.0,None
P043+01,43.9651833333,1.17949083333,0.0,None
P115+29,115.0041625,29.3071,8.01, 566183
P046+69,46.9453541667,68.9651011111,0.0,None
P085+34,85.2898791667,34.1288880556,0.0,None
P046+66,46.0328291667,66.4498272222,0.0,None
P230+27,230.826616667,27.4363116667,0.0,None
P022+81,22.8553833333,81.2829608333,0.0,None
P124+67,124.770170833,67.0064505556,8.01, 570741
P230+22,230.790225,22.4161944444,0.0,None
P300+68,300.834633333,68.0669416667,0.0,None
P039+49,39.8530541667,48.8356188889,0.0,None
P267+25,267.128425,25.1572608333,0.0,None
P267+23,267.222841667,22.6478877778,0.0,None
P039+46,39.4842666667,46.3229197222,0.0,None
P309+28,309.7663875,27.9878169444,0.0,None
P067+14,67.306925,13.9159683333,0.0,None
